"","state","district","candidate","gender","total_votes","vote_share","winner_party","winner_gender","pres_winner","flip","year","party"
"117","IL",12,"Brendan Kelly","male",118724,0.453936828743266,"Republican","male","Trump",FALSE,2018,"Democrat"
"118","IL",13,"Betsy Dirksen Londrigan","female",134458,0.496189769762456,"Republican","male","Trump",FALSE,2018,"Democrat"
"119","IL",14,"Lauren Underwood","female",156035,0.525018590237518,"Democrat","female","Trump",TRUE,2018,"Democrat"
"120","IL",15,"Kevin Gaither","male",74309,0.290714688116178,"Republican","male","Trump",FALSE,2018,"Democrat"
"121","IL",16,"Sara Dady","female",104569,0.408752076614873,"Republican","male","Trump",FALSE,2018,"Democrat"
"122","IL",17,"Cheri Bustos","female",142659,0.620934149876604,"Democrat","female","Trump",TRUE,2018,"Democrat"
"123","IL",18,"Junius Rodriguez","male",95486,0.327665546835591,"Republican","male","Trump",FALSE,2018,"Democrat"
"124","IL",2,"Robin Kelly","female",190684,0.810555534301661,"Democrat","female","Clinton",FALSE,2018,"Democrat"
"125","IL",3,"Daniel William Lipinski","male",163053,0.730085880340656,"Democrat","male","Clinton",FALSE,2018,"Democrat"
"126","IL",4,"Jesus \Chuy\ Garcia","male",143895,0.865851530486374,"Democrat","male","Clinton",FALSE,2018,"Democrat"
"127","IL",5,"Mike Quigley","male",213992,0.766636453851417,"Democrat","male","Clinton",FALSE,2018,"Democrat"
"128","IL",6,"Sean Casten","male",169001,0.535752553527387,"Democrat","male","Clinton",FALSE,2018,"Democrat"
"129","IL",7,"Danny K. Davis","male",215746,0.876150794134249,"Democrat","male","Clinton",FALSE,2018,"Democrat"
"130","IL",8,"Raja Krishnamoorthi","male",130054,0.659747269526752,"Democrat","male","Clinton",FALSE,2018,"Democrat"
"131","IL",9,"Janice D. Schakowsky","female",213368,0.734862287369425,"Democrat","female","Clinton",FALSE,2018,"Democrat"
"132","IN",1,"Peter J. Visclosky","male",159611,0.650918196314165,"Democrat","male","Clinton",FALSE,2018,"Democrat"
"133","IN",2,"Mel Hall","male",103363,0.451585703113736,"Republican","female","Trump",FALSE,2018,"Democrat"
"134","IN",3,"Courtney Tritch","female",86610,0.352737062031384,"Republican","male","Trump",FALSE,2018,"Democrat"
"135","IN",4,"Tobi Beck","female",87824,0.359399745460647,"Republican","male","Trump",FALSE,2018,"Democrat"
"136","IN",5,"Dee Thornton","female",137142,0.432383180369321,"Republican","female","Trump",FALSE,2018,"Democrat"
"137","IN",6,"Jeannine Lee Lake","female",79430,0.328595186285298,"Republican","male","Trump",FALSE,2018,"Democrat"
"138","IN",7,"Andre D. Carson","male",141139,0.648628651261972,"Democrat","male","Clinton",FALSE,2018,"Democrat"
"139","IN",8,"William Tanoos","male",86895,0.355702829821811,"Republican","male","Trump",FALSE,2018,"Democrat"
"140","IN",9,"Liz Watson","female",118090,0.435176757161125,"Republican","male","Trump",FALSE,2018,"Democrat"
"141","KS",1,"Alan LaPolice","male",71558,0.318545227920228,"Republican","male","Trump",FALSE,2018,"Democrat"
"142","KS",2,"Paul Davis","male",123859,0.467943389953455,"Republican","male","Trump",FALSE,2018,"Democrat"
"143","KS",3,"Sharice Davids","female",170518,0.535713051482716,"Democrat","female","Clinton",FALSE,2018,"Democrat"
"144","KS",4,"James A. Thompson","male",98445,0.405635926870573,"Republican","male","Trump",FALSE,2018,"Democrat"
"145","KY",1,"Paul Walker","male",78849,0.314119418682474,"Republican","male","Trump",FALSE,2018,"Democrat"
"146","KY",2,"Hank Linderman","male",79964,0.310726845285512,"Republican","Unknown","Trump",FALSE,2018,"Democrat"
"147","KY",3,"John A. Yarmuth","male",173002,0.62070177956372,"Democrat","male","Clinton",FALSE,2018,"Democrat"
"148","KY",4,"Seth Hall","male",90536,0.345805387071639,"Republican","male","Trump",FALSE,2018,"Democrat"
"149","KY",5,"Kenneth S. Stepp","male",45890,0.210488172940642,"Republican","male","Trump",FALSE,2018,"Democrat"
"150","KY",6,"Amy McGrath","female",144736,0.477853199862656,"Republican","male","Trump",FALSE,2018,"Democrat"
"151","LA",2,"Cedric Richmond","male",190182,0.805917400479698,"Democrat","male","Clinton",FALSE,2018,"Democrat"
"152","LA",4,"Ryan Trundle","male",72934,0.336299752849607,"Republican","Unknown","Trump",FALSE,2018,"Democrat"
"153","LA",5,"Jessee Carlton Fleenor","male",67118,0.299706179168192,"Republican","male","Trump",FALSE,2018,"Democrat"
"154","MA",1,"Richard E. Neal","male",211790,0.976440756108806,"Democrat","male","Clinton",FALSE,2018,"Democrat"
"155","MA",2,"James P. McGovern","male",191332,0.671592492620036,"Democrat","male","Clinton",FALSE,2018,"Democrat"
"156","MA",3,"Lori Loureiro Trahan","female",173175,0.619972290541194,"Democrat","female","Clinton",FALSE,2018,"Democrat"
"157","MA",4,"Joseph P. Kennedy, III","male",245289,0.977184721292667,"Democrat","male","Clinton",FALSE,2018,"Democrat"
"158","MA",5,"Katherine M. Clark","female",236243,0.758833241253485,"Democrat","female","Clinton",FALSE,2018,"Democrat"
"159","MA",6,"Seth W. Moulton","male",217703,0.651854180702148,"Democrat","male","Clinton",FALSE,2018,"Democrat"
"160","MA",7,"Ayanna S. Pressley","female",216559,0.982523558261611,"Democrat","female","Clinton",FALSE,2018,"Democrat"
"161","MA",8,"Stephen F. Lynch","male",259159,0.984246525918415,"Democrat","male","Clinton",FALSE,2018,"Democrat"
"162","MA",9,"Bill Keating","male",192347,0.593795534810205,"Democrat","male","Clinton",FALSE,2018,"Democrat"
"163","MD",1,"Jesse Colvin","male",69255,0.348076294825723,"Republican","male","Trump",FALSE,2018,"Democrat"
"164","MD",2,"C.A. Dutch Ruppersberger","Unknown",103194,0.63114824283495,"Democrat","Unknown","Clinton",FALSE,2018,"Democrat"
"165","MD",3,"John Sarbanes","male",125744,0.6599764863957,"Democrat","male","Clinton",FALSE,2018,"Democrat"
"166","MD",4,"Anthony G. Brown","male",127602,0.762431137295204,"Democrat","male","Clinton",FALSE,2018,"Democrat"
"167","MD",5,"Steny H. Hoyer","Unknown",132119,0.672419496852145,"Democrat","Unknown","Clinton",FALSE,2018,"Democrat"
"168","MD",6,"David Trone","male",102591,0.54527335154614,"Democrat","male","Clinton",FALSE,2018,"Democrat"
"169","MD",7,"Elijah Cummings","male",119773,0.745329748970118,"Democrat","male","Clinton",FALSE,2018,"Democrat"
"170","MD",8,"Jamie Raskin","female",129637,0.630729559442431,"Democrat","female","Clinton",FALSE,2018,"Democrat"
"171","ME",1,"Chellie Pingree","female",201195,0.58819832014337,"Democrat","female","Clinton",FALSE,2018,"Democrat"
"172","ME",2,"Jared F. Golden","male",142440,0.506235539554538,"Democrat","male","Trump",TRUE,2018,"Democrat"
"173","MI",1,"Matthew W. Morgan","male",145246,0.436834016547518,"Republican","male","Trump",FALSE,2018,"Democrat"
"174","MI",10,"Kimberly Bizon","female",106061,0.349962384182879,"Republican","male","Trump",FALSE,2018,"Democrat"
